home_shots_pg,away_shots_pg,shot_ratio,home_xg,away_xg,xg_diff,combined_volatility,home_form_xg,away_form_xg,home_conversion,away_conversion,elo_diff,bf_over_2_5_implied,is_elite_match,match_id,label_1x2,label_over_2_5,label_btts,home_goals,away_goals
14.0,20.0,0.7,1.4,1.7500000000000002,0.0,1.0,1.47,2.1,0.1,0.1,-100.0,0.5,0.0,41,draw,0,1,1,1
16.0,12.0,1.3333333333333333,2.45,1.7500000000000002,1.0500000000000003,1.0,1.6800000000000002,1.26,0.1,0.1,-40.0,0.5,0.0,42,home,1,1,2,1
14.0,12.0,1.1666666666666667,1.4,0.7,-0.2100000000000002,1.0,1.47,1.26,0.1,0.1,0.0,0.5,1.0,43,home,1,1,2,1
16.0,8.0,2.0,2.1,1.05,0.42000000000000015,1.0,1.6800000000000002,0.8400000000000001,0.1,0.1,100.0,0.5,0.0,44,draw,0,1,1,1
26.0,8.0,3.25,2.8,0.7,0.8400000000000003,1.0,2.7300000000000004,0.8400000000000001,0.1,0.1,280.0,0.5,1.0,45,home,1,1,2,1
4.0,4.0,1.0,0.7,0.35,-0.42000000000000004,1.0,0.42000000000000004,0.42000000000000004,0.1,0.1,-240.0,0.5,0.0,46,draw,0,0,0,0
38.0,4.0,9.5,4.9,0.35,1.6799999999999993,1.0,3.9899999999999998,0.42000000000000004,0.1,0.1,460.0,0.5,1.0,47,home,1,0,6,0
4.0,20.0,0.2,0.35,1.7500000000000002,-0.42000000000000004,1.0,0.42000000000000004,2.1,0.1,0.1,-200.0,0.5,0.0,48,draw,0,1,1,1
30.0,14.0,2.142857142857143,4.2,0.7,1.8900000000000003,1.0,3.1500000000000004,1.47,0.1,0.1,160.0,0.5,1.0,49,home,1,1,2,1
12.0,10.0,1.2,1.05,0.7,-0.20999999999999996,1.0,1.26,1.05,0.1,0.1,-60.0,0.5,0.0,50,away,0,0,0,1
8.0,30.0,0.26666666666666666,0.525,1.5750000000000002,-0.41999999999999993,1.0,0.8400000000000001,3.1500000000000004,0.1,0.1,-220.0,0.5,1.0,51,draw,0,0,0,0
20.0,16.0,1.25,2.625,1.05,1.05,1.0,2.1,1.6800000000000002,0.1,0.1,0.0,0.5,0.0,52,home,1,1,5,2
12.0,4.0,3.0,2.1,0.525,0.0,1.0,1.26,0.42000000000000004,0.1,0.1,40.0,0.5,1.0,53,home,1,1,2,1
